Village_ID,Village_Name,District,State,Latitude,Longitude,Population,Male_Population,Female_Population,Elderly_Population,Child_Population,Hospital_Name,Facility_Type,Doctors_Count,Nurses_Count,Beds_Available,Emergency_Service,Distance_to_Hospital_km,Average_Travel_Time_min,Road_Connectivity,Ambulance_Availability,Accessibility_Score,Healthcare_Risk_Level,Doctor_Shortage_Flag,Underserved_Area_Flag,Monthly_Patient_Count,road_speed_kmph,risk_norm,Emergency_Service_bin,Ambulance_Availability_bin,Doctor_Shortage_Flag_bin,Underserved_Area_Flag_bin,need_score,Latitude_orig,Longitude_orig
V01916,Village_1217,Bhagalpur,Bihar,25.26408435526211,87.37046282025527,15451,7676,7775,1576,3803,Bhagalpur_Medical_Center,PHC,25,54,129,Yes,45.25,214.46,Poor,Yes,32,High,No,Yes,4350,12.0,1.0,1,1,0,1,0.7415,25.190817,84.732821
V01917,Village_7320,Bhopal,Madhya Pradesh,23.332240735804803,77.55046511273785,12581,6043,6538,697,3917,Bhopal_Health_Center,PHC,23,3,57,Yes,7.34,18.31,Good,Yes,100,Low,No,No,2183,40.0,0.2,1,1,0,0,0.2486,18.73257,72.705599
V01918,Village_8874,Pune,Maharashtra,19.048271613723426,73.87856098109332,6908,3470,3438,737,1878,Pune_Medical_Center,PHC,9,16,93,No,4.54,14.41,Good,No,100,Low,No,No,3885,40.0,0.2,0,0,0,0,0.1521,19.269089,72.586981
V01919,Village_7237,Udaipur,Rajasthan,24.36997348638603,73.56201912639843,21746,10963,10783,2056,7481,Udaipur_Medical_Center,CHC,11,6,36,Yes,39.19,112.0,Average,No,45,Medium,No,No,3996,25.0,0.5,1,0,0,0,0.6596,20.316494,72.221448
V01920,Village_3778,Prayagraj,Uttar Pradesh,25.53880683846405,82.18836598116059,9583,4870,4713,836,2414,Prayagraj_Medical_Center,CHC,38,49,91,No,31.61,151.09,Average,No,73,Medium,No,No,3678,25.0,0.5,0,0,0,0,0.3686,26.777574,82.55517
V01921,Village_9254,Prayagraj,Uttar Pradesh,25.213496302782968,81.99595806033459,7084,3568,3516,368,1653,Prayagraj_Health_Center,District Hospital,31,70,111,Yes,24.01,79.32,Average,No,92,Low,No,No,2333,25.0,0.2,1,0,0,0,0.1791,18.363251,81.386081
V01922,Village_6184,Jaipur,Rajasthan,26.993264932279722,75.41528218753227,1645,840,805,176,360,Jaipur_Care_Center,PHC,22,57,18,No,52.6,188.95,Poor,No,23,High,No,Yes,3533,12.0,1.0,0,0,0,1,0.5335,21.829814,72.241254
V01923,Village_6034,Kanpur,Uttar Pradesh,26.297275021573878,80.54911661976602,23667,11803,11864,2702,4328,Kanpur_Health_Center,CHC,6,23,49,Yes,4.36,15.27,Good,No,100,Low,No,No,2440,40.0,0.2,1,0,0,0,0.4373,23.969571,78.075033
V01924,Village_3140,Nashik,Maharashtra,20.637411760048884,74.31133619802713,10590,5229,5361,746,2809,Nashik_Medical_Center,District Hospital,15,43,212,No,23.04,69.33,Average,Yes,85,Low,No,No,4939,25.0,0.2,0,1,0,0,0.2597,24.955942,84.220559
V01925,Village_8327,Patna,Bihar,25.380441242543615,85.66991587878972,15175,7843,7332,1742,4726,Patna_Health_Center,CHC,15,64,134,Yes,34.05,144.66,Poor,No,51,Medium,No,No,2811,12.0,0.5,1,0,0,0,0.5298,20.972322,74.727414
V01926,Village_7869,Kota,Rajasthan,24.71308356888993,75.90926874475639,16506,8446,8060,1802,3115,Kota_Medical_Center,CHC,21,23,85,No,51.26,193.09,Poor,Yes,25,High,No,Yes,3607,12.0,1.0,0,1,0,1,0.7804,23.063471,84.172565
V01927,Village_4424,Gaya,Bihar,24.837313638563955,85.09198085633405,21952,10885,11067,1489,7210,Gaya_Medical_Center,District Hospital,4,20,35,Yes,49.38,197.24,Average,No,10,High,Yes,Yes,2248,25.0,1.0,1,0,1,1,0.9181,21.93891,72.941599
V01928,Village_2345,Nagpur,Maharashtra,21.36419558336845,79.01201249490583,5723,2811,2912,452,1749,Nagpur_Health_Center,CHC,15,45,40,No,42.72,111.29,Poor,No,46,Medium,No,No,2429,12.0,0.5,0,0,0,0,0.3839,24.348896,77.339351
V01929,Village_6116,Bhopal,Madhya Pradesh,23.699595677749333,77.29466262159161,5787,2945,2842,592,1063,Bhopal_Care_Center,District Hospital,23,20,16,Yes,24.47,67.0,Average,No,82,Low,No,No,4405,25.0,0.2,1,0,0,0,0.187,18.62053,81.581093
V01930,Village_8353,Indore,Madhya Pradesh,22.983463003795244,75.86095375225891,6216,3113,3103,593,2071,Indore_Medical_Center,PHC,14,66,26,No,17.92,74.11,Poor,Yes,78,Low,No,No,3250,12.0,0.2,0,1,0,0,0.2063,18.76526,86.14897
V01931,Village_4315,Pune,Maharashtra,18.584051432377024,73.94537976314105,23696,11593,12103,2021,5770,Pune_Health_Center,PHC,34,40,132,Yes,25.76,113.68,Average,Yes,86,Low,No,No,1731,25.0,0.2,1,1,0,0,0.4798,24.092852,82.087379
V01932,Village_8720,Pune,Maharashtra,19.02575050756731,73.7232612586793,19631,9847,9784,1986,5816,Pune_Care_Center,PHC,38,32,217,No,29.65,146.15,Average,No,82,Low,No,No,3508,25.0,0.2,0,0,0,0,0.4226,25.048102,79.27871
V01933,Village_7184,Bhagalpur,Bihar,25.197441819519646,86.80001261303912,11695,5780,5915,829,3332,Bhagalpur_Care_Center,PHC,17,66,61,Yes,37.19,164.3,Poor,No,41,High,No,No,1009,12.0,1.0,1,0,0,0,0.6505,21.224054,83.82526
V01934,Village_3289,Nashik,Maharashtra,20.168510229474442,73.39961550170185,14011,7075,6936,1263,3406,Nashik_Care_Center,PHC,35,19,103,No,41.78,107.2,Good,Yes,71,Medium,No,No,2650,40.0,0.5,0,1,0,0,0.45,24.108435,87.734358
V01935,Village_6510,Kota,Rajasthan,24.961850247347293,75.82457268460455,2433,1213,1220,146,541,Kota_Health_Center,PHC,28,3,202,No,26.96,111.94,Average,Yes,83,Low,No,No,3679,25.0,0.2,0,1,0,0,0.1269,20.751387,80.11272
V01936,Village_7882,Lucknow,Uttar Pradesh,26.954599376507385,80.65284776303676,10860,5457,5403,729,3780,Lucknow_Medical_Center,PHC,30,60,132,No,4.22,15.82,Good,No,100,Low,No,No,2925,40.0,0.2,0,0,0,0,0.2193,25.425476,86.691627
V01937,Village_3583,Lucknow,Uttar Pradesh,26.80533024101387,80.96795088587552,9000,4586,4414,938,2172,Lucknow_Medical_Center,PHC,30,61,62,Yes,10.49,38.17,Poor,No,100,Low,No,No,4928,12.0,0.2,1,0,0,0,0.1877,23.325667,86.245416
V01938,Village_2352,Muzaffarpur,Bihar,26.10860805042813,85.2011871660565,14085,7143,6942,1033,3929,Muzaffarpur_Medical_Center,District Hospital,38,37,165,No,50.34,160.12,Average,No,55,Medium,No,No,2051,25.0,0.5,0,0,0,0,0.4992,20.262791,77.142875
V01939,Village_1494,Jaipur,Rajasthan,26.511731752265895,75.72893112843447,9948,4803,5145,755,2303,Jaipur_Care_Center,District Hospital,34,50,258,Yes,32.76,97.98,Average,Yes,89,Low,No,No,4098,25.0,0.2,1,1,0,0,0.2368,22.518958,79.518817
V01940,Village_1738,Kota,Rajasthan,24.991801962646534,76.19526081542053,5593,2884,2709,397,1435,Kota_Care_Center,District Hospital,40,31,221,Yes,29.92,127.95,Average,Yes,89,Low,No,No,569,25.0,0.2,1,1,0,0,0.1627,26.16828,83.162861
V01941,Village_8560,Patna,Bihar,25.376037910440733,85.6762384259737,17345,8950,8395,906,4995,Patna_Care_Center,CHC,28,7,132,Yes,7.24,16.6,Poor,No,100,Low,No,No,1144,12.0,0.2,1,0,0,0,0.3297,24.718745,81.398487
V01942,Village_5394,Aurangabad,Maharashtra,19.89496098957614,74.96175071783603,12970,6475,6495,1413,3410,Aurangabad_Health_Center,District Hospital,12,66,108,No,52.28,223.8,Average,No,10,High,No,Yes,527,25.0,1.0,0,0,0,1,0.7652,26.283835,87.351551
V01943,Village_9537,Gwalior,Madhya Pradesh,25.888534716740363,78.22576829291278,18149,8762,9387,1362,4711,Gwalior_Medical_Center,CHC,24,55,218,Yes,5.78,18.87,Poor,No,100,Low,No,No,2057,12.0,0.2,1,0,0,0,0.3434,23.091058,78.729245
V01944,Village_7673,Jabalpur,Madhya Pradesh,23.25864066669239,80.28681140282998,22446,10786,11660,2015,5454,Jabalpur_Care_Center,District Hospital,27,16,41,Yes,13.93,52.39,Average,Yes,100,Low,No,No,711,25.0,0.2,1,1,0,0,0.4165,19.18529,86.500788
V01945,Village_7114,Jodhpur,Rajasthan,26.774697754950775,73.4437597679324,14440,7281,7159,790,2915,Jodhpur_Care_Center,District Hospital,28,59,164,No,33.92,145.16,Average,No,65,Medium,No,No,4257,25.0,0.5,0,0,0,0,0.4753,22.73035,81.137094
V01946,Village_4247,Udaipur,Rajasthan,24.158940341599486,73.46114357908135,4294,2159,2135,494,815,Udaipur_Care_Center,CHC,4,35,109,No,23.93,110.68,Good,Yes,57,Medium,Yes,No,3556,40.0,0.5,0,1,1,0,0.3266,25.323332,83.708395
V01947,Village_4851,Gaya,Bihar,24.881678815565316,85.34986508356438,1641,849,792,97,373,Gaya_Medical_Center,District Hospital,1,16,254,No,24.04,118.25,Poor,Yes,60,Medium,Yes,No,239,12.0,0.5,0,1,1,0,0.2724,20.193453,87.939125
V01948,Village_6667,Kota,Rajasthan,24.69861070130752,76.16984289942764,8912,4567,4345,448,2798,Kota_Care_Center,PHC,1,54,101,No,21.55,73.51,Poor,No,66,Medium,Yes,No,2470,12.0,0.5,0,0,1,0,0.3782,22.092964,78.265486
V01949,Village_2063,Kanpur,Uttar Pradesh,26.860454843230556,80.01091035994929,1561,799,762,174,503,Kanpur_Medical_Center,PHC,14,22,245,Yes,12.99,34.48,Good,No,100,Low,No,No,3220,40.0,0.2,1,0,0,0,0.061,24.385035,76.873696
V01950,Village_3086,Kanpur,Uttar Pradesh,26.09366182629986,80.066940849483,23897,12163,11734,2511,7710,Kanpur_Care_Center,PHC,36,67,82,No,1.76,4.8,Poor,Yes,100,Low,No,No,4873,12.0,0.2,0,1,0,0,0.4412,25.712528,82.761586
V01951,Village_3273,Bhagalpur,Bihar,25.24524757061296,87.31726446995627,23170,11183,11987,1701,7788,Bhagalpur_Medical_Center,PHC,7,14,88,Yes,30.65,68.53,Average,Yes,63,Medium,No,No,3321,25.0,0.5,1,1,0,0,0.6299,23.737931,78.78238
V01952,Village_5976,Prayagraj,Uttar Pradesh,25.27843057417868,82.09634840476693,17233,8392,8841,950,3823,Prayagraj_Health_Center,CHC,38,67,148,Yes,20.84,53.71,Poor,No,100,Low,No,No,2378,12.0,0.2,1,0,0,0,0.3278,24.454129,82.685489
V01953,Village_9037,Pune,Maharashtra,18.237636127485455,74.15339370577067,13336,6517,6819,1257,2849,Pune_Medical_Center,PHC,13,21,133,No,44.64,106.17,Poor,No,48,Medium,No,No,4868,12.0,0.5,0,0,0,0,0.5075,21.730958,85.287477
V01954,Village_5088,Patna,Bihar,25.39569688015511,85.12182408839855,3286,1625,1661,279,901,Patna_Health_Center,PHC,9,52,173,Yes,9.95,45.25,Poor,No,96,Low,No,No,4239,12.0,0.2,1,0,0,0,0.1024,22.504476,74.559577
V01955,Village_1065,Varanasi,Uttar Pradesh,25.31207078160711,82.92336126187446,24864,12008,12856,1453,6957,Varanasi_Health_Center,CHC,27,36,299,No,6.27,20.06,Good,No,100,Low,No,No,1227,40.0,0.2,0,0,0,0,0.4577,21.964171,85.42632
V01956,Village_3193,Jodhpur,Rajasthan,26.3746065969958,72.70316533362384,24540,12708,11832,2516,4869,Jodhpur_Medical_Center,District Hospital,21,36,293,No,40.32,83.51,Good,No,74,Medium,No,No,2197,40.0,0.5,0,0,0,0,0.6202,23.223611,76.744042
V01957,Village_8868,Bhagalpur,Bihar,25.10234027850394,87.03552878847698,14911,7672,7239,825,4918,Bhagalpur_Medical_Center,District Hospital,28,45,179,No,1.97,8.29,Good,Yes,100,Low,No,No,3733,40.0,0.2,0,1,0,0,0.2883,23.349041,83.524207
V01958,Village_3320,Jodhpur,Rajasthan,27.053236370257107,72.76320185117132,8325,4183,4142,795,2547,Jodhpur_Health_Center,District Hospital,13,51,12,Yes,55.5,207.43,Average,Yes,10,High,No,Yes,3236,25.0,1.0,1,1,0,1,0.6862,23.73406,72.491055
V01959,Village_4764,Nagpur,Maharashtra,21.469831212579347,79.30536819030678,14927,7185,7742,1301,4044,Nagpur_Health_Center,PHC,1,19,19,Yes,54.24,255.45,Poor,Yes,10,High,Yes,Yes,4833,12.0,1.0,1,1,1,1,0.7986,26.491526,74.527093
V01960,Village_7488,Udaipur,Rajasthan,23.977589070210524,73.6456577068264,17121,8511,8610,1119,3558,Udaipur_Care_Center,PHC,29,30,156,No,46.69,163.88,Average,No,49,Medium,No,No,924,25.0,0.5,0,0,0,0,0.5689,22.347118,79.36001
V01961,Village_6693,Jaipur,Rajasthan,27.22575644672156,75.47355889708331,14791,7489,7302,1077,4687,Jaipur_Care_Center,District Hospital,27,64,249,Yes,3.0,8.35,Average,Yes,100,Low,No,No,4990,25.0,0.2,1,1,0,0,0.2862,18.683052,76.020121
V01962,Village_5432,Nagpur,Maharashtra,21.18020157482011,79.37996486737353,15449,7968,7481,1479,4081,Nagpur_Care_Center,District Hospital,4,47,269,Yes,58.12,191.0,Good,Yes,11,High,Yes,Yes,1219,40.0,1.0,1,1,1,1,0.8044,20.974643,87.696327
V01963,Village_7920,Jodhpur,Rajasthan,26.808133428014564,72.78834531574104,15248,7396,7852,1052,4028,Jodhpur_Medical_Center,PHC,3,43,269,No,4.05,8.27,Good,No,100,Low,Yes,No,3924,40.0,0.2,0,0,1,0,0.294,19.099352,77.04774
V01964,Village_1419,Nashik,Maharashtra,20.254903969428238,74.22301167824182,3804,1965,1839,369,1309,Nashik_Care_Center,CHC,14,68,264,No,56.35,156.25,Average,Yes,31,High,No,Yes,3392,25.0,1.0,0,1,0,1,0.5462,24.556177,76.528916
V01965,Village_1531,Jodhpur,Rajasthan,26.47707696171331,72.31311226215244,19668,9916,9752,1127,3899,Jodhpur_Medical_Center,CHC,37,50,259,Yes,4.99,13.26,Good,Yes,100,Low,No,No,4536,40.0,0.2,1,1,0,0,0.3693,21.151375,74.013642
V01966,Village_6873,Gaya,Bihar,24.602117267700372,84.63603334741686,22152,10693,11459,1241,7387,Gaya_Medical_Center,PHC,13,47,158,No,51.73,105.69,Average,Yes,42,High,No,No,4726,25.0,1.0,0,1,0,0,0.8255,18.56748,74.903061
V01967,Village_4739,Bhopal,Madhya Pradesh,23.218661023476383,77.41965305998285,6071,2974,3097,533,1554,Bhopal_Health_Center,CHC,25,57,23,Yes,59.63,188.53,Good,No,19,High,No,Yes,2637,40.0,1.0,1,0,0,1,0.6208,26.048194,84.497594
V01968,Village_8706,Pune,Maharashtra,18.342499821755393,74.34892160680313,19526,9542,9984,1606,4477,Pune_Medical_Center,District Hospital,13,4,275,Yes,6.9,17.87,Good,Yes,100,Low,No,No,3767,40.0,0.2,1,1,0,0,0.3668,23.702751,85.961562
V01969,Village_7305,Pune,Maharashtra,18.633320280722774,73.9027897676259,14013,6862,7151,864,2532,Pune_Care_Center,CHC,20,12,287,No,20.22,53.93,Good,Yes,100,Low,No,No,3685,40.0,0.2,0,1,0,0,0.273,22.584193,72.903686
V01970,Village_8410,Gwalior,Madhya Pradesh,26.028066647214853,78.53547515856428,17664,8529,9135,1052,5294,Gwalior_Medical_Center,District Hospital,36,19,22,No,52.6,114.52,Good,No,55,Medium,No,No,3028,40.0,0.5,0,0,0,0,0.5601,25.234444,76.317057
V01971,Village_4903,Jodhpur,Rajasthan,26.36766352953817,73.72439436465928,23768,12203,11565,1536,4330,Jodhpur_Health_Center,CHC,34,63,61,Yes,36.08,141.8,Average,No,65,Medium,No,No,3912,25.0,0.5,1,0,0,0,0.634,21.402046,77.465659
V01972,Village_7633,Pune,Maharashtra,19.038166474852588,74.10247798493525,10734,5399,5335,847,3662,Pune_Medical_Center,CHC,7,41,166,No,14.5,44.5,Good,No,89,Low,No,No,2534,40.0,0.2,0,0,0,0,0.2502,24.472584,87.56099
V01973,Village_6294,Jodhpur,Rajasthan,27.08851735243848,72.62421694655497,6071,3088,2983,581,2071,Jodhpur_Medical_Center,PHC,8,68,192,No,56.95,244.07,Good,Yes,10,High,No,Yes,2145,40.0,1.0,0,1,0,1,0.6478,24.62232,79.621172
V01974,Village_2221,Kanpur,Uttar Pradesh,26.904403424455726,80.06375674526632,11978,5969,6009,839,3012,Kanpur_Care_Center,District Hospital,24,9,216,Yes,45.3,205.63,Poor,Yes,38,High,No,Yes,654,12.0,1.0,1,1,0,1,0.6644,22.536044,75.352298
V01975,Village_5246,Jodhpur,Rajasthan,26.4119599725813,73.49603972481214,15718,7748,7970,852,4858,Jodhpur_Health_Center,District Hospital,28,8,132,No,55.38,160.47,Poor,No,39,High,No,Yes,1792,12.0,1.0,0,0,0,1,0.725,19.824755,75.856718
V01976,Village_5001,Jodhpur,Rajasthan,26.308674753315263,72.7508231114686,11351,5731,5620,1271,2310,Jodhpur_Health_Center,CHC,4,45,44,Yes,19.69,91.4,Average,No,63,Medium,Yes,No,161,25.0,0.5,1,0,1,0,0.4287,21.621857,80.566632
V01977,Village_5412,Varanasi,Uttar Pradesh,25.4770041716711,82.98774503766046,23691,12071,11620,2690,6133,Varanasi_Health_Center,PHC,34,51,87,No,43.2,175.57,Poor,No,51,Medium,No,No,3523,12.0,0.5,0,0,0,0,0.6747,26.62725,76.014996
V01978,Village_8690,Varanasi,Uttar Pradesh,25.34436343145515,82.94966544335911,2305,1125,1180,205,670,Varanasi_Health_Center,CHC,36,58,99,Yes,25.38,58.07,Good,Yes,100,Low,No,No,2398,40.0,0.2,1,1,0,0,0.0737,19.609678,81.150581
V01979,Village_4652,Pune,Maharashtra,18.161558703357304,73.77152536841895,6071,3038,3033,599,1987,Pune_Health_Center,PHC,23,32,133,No,52.18,119.2,Poor,No,47,Medium,No,No,4516,12.0,0.5,0,0,0,0,0.3868,21.075534,76.451276
V01980,Village_6214,Jodhpur,Rajasthan,26.535609213425516,72.41980810672852,19154,9881,9273,2148,6431,Jodhpur_Care_Center,CHC,1,8,123,Yes,21.48,57.44,Good,Yes,71,Medium,Yes,No,2580,40.0,0.5,1,1,1,0,0.5375,21.879832,75.052544
V01981,Village_6052,Jaipur,Rajasthan,27.29748330415912,76.01367522455031,16139,8120,8019,1659,5514,Jaipur_Health_Center,CHC,7,56,262,Yes,35.47,117.41,Good,Yes,55,Medium,No,No,3103,40.0,0.5,1,1,0,0,0.5342,19.329832,83.826316
V01982,Village_3828,Aurangabad,Maharashtra,19.883146423768032,75.29251960770178,19191,9524,9667,1679,4713,Aurangabad_Medical_Center,PHC,20,58,202,Yes,3.98,16.08,Poor,Yes,100,Low,No,No,3061,12.0,0.2,1,1,0,0,0.3611,18.182562,74.719976
V01983,Village_3901,Udaipur,Rajasthan,24.153550514365353,73.75854414696856,18561,9353,9208,1773,4254,Udaipur_Health_Center,District Hospital,14,52,112,No,5.6,14.6,Good,No,100,Low,No,No,3328,40.0,0.2,0,0,0,0,0.3504,18.376923,79.505432
V01984,Village_4860,Lucknow,Uttar Pradesh,27.024425627397427,80.59277778993335,8298,4215,4083,650,2352,Lucknow_Medical_Center,CHC,32,38,297,Yes,5.76,13.08,Good,No,100,Low,No,No,1973,40.0,0.2,1,0,0,0,0.1757,25.726029,82.876994
V01985,Village_2604,Nashik,Maharashtra,19.95595800994217,73.53760363494055,14220,7059,7161,1476,3602,Nashik_Care_Center,District Hospital,18,48,167,No,19.06,54.71,Good,No,93,Low,No,No,3199,40.0,0.2,0,0,0,0,0.2975,23.537893,86.822915
V01986,Village_6767,Varanasi,Uttar Pradesh,25.29239246137232,82.76800840238069,3988,2036,1952,228,719,Varanasi_Health_Center,District Hospital,28,12,23,Yes,23.58,116.66,Average,Yes,76,Low,No,No,150,25.0,0.2,1,1,0,0,0.1744,19.643905,78.231457
V01987,Village_1288,Bhagalpur,Bihar,25.318996385634772,87.29297621807252,22377,10833,11544,1529,6539,Bhagalpur_Care_Center,District Hospital,40,15,199,Yes,53.58,128.71,Average,No,64,Medium,No,No,4127,25.0,0.5,1,0,0,0,0.6134,26.679634,78.662611
V01988,Village_6233,Kota,Rajasthan,24.952363742489784,76.06731718957195,16921,8713,8208,1107,5426,Kota_Care_Center,CHC,23,9,95,No,54.76,154.5,Good,Yes,34,High,No,Yes,214,40.0,1.0,0,1,0,1,0.7605,20.394691,76.067902
V01989,Village_2108,Bhopal,Madhya Pradesh,23.79872324006396,77.26656321495095,22544,11655,10889,2211,6955,Bhopal_Medical_Center,District Hospital,24,5,91,No,15.39,61.2,Average,Yes,97,Low,No,No,4530,25.0,0.2,0,1,0,0,0.4272,21.90349,73.508575
V01990,Village_4643,Gaya,Bihar,24.37962389563389,84.43551621848931,23030,11237,11793,1348,7136,Gaya_Health_Center,CHC,37,42,187,No,16.07,71.21,Good,Yes,100,Low,No,No,1382,40.0,0.2,0,1,0,0,0.4265,24.783687,81.263837
V01991,Village_9317,Pune,Maharashtra,18.556698683896776,73.96187859068684,23502,12127,11375,1293,7371,Pune_Care_Center,PHC,33,47,76,Yes,7.53,25.01,Average,Yes,100,Low,No,No,3623,25.0,0.2,1,1,0,0,0.4345,26.749704,74.526763
V01992,Village_1745,Kanpur,Uttar Pradesh,26.173979770037946,80.09259373070769,12235,6244,5991,1020,2676,Kanpur_Medical_Center,PHC,18,10,123,Yes,53.36,154.0,Good,Yes,32,High,No,Yes,1479,40.0,1.0,1,1,0,1,0.6867,21.288373,83.869906
V01993,Village_7511,Jabalpur,Madhya Pradesh,23.0482616212666,79.6450219154264,6479,3314,3165,432,1419,Jabalpur_Health_Center,CHC,4,31,251,Yes,38.9,119.2,Good,No,47,Medium,Yes,No,3019,40.0,0.5,1,0,1,0,0.3938,25.586791,80.994277
V01994,Village_4130,Jaipur,Rajasthan,26.666468978498447,75.62256719461736,8865,4604,4261,767,2561,Jaipur_Care_Center,CHC,36,54,130,Yes,49.94,188.39,Good,No,45,Medium,No,No,2331,40.0,0.5,1,0,0,0,0.4404,20.994299,72.915618
V01995,Village_2733,Udaipur,Rajasthan,24.876748455735587,73.31655891356974,12463,6273,6190,1352,2493,Udaipur_Care_Center,PHC,30,64,92,No,7.18,27.59,Average,No,100,Low,No,No,1996,25.0,0.2,0,0,0,0,0.2466,20.3144,81.158206
V01996,Village_2175,Jaipur,Rajasthan,26.960901551671643,75.7100054076582,16955,8223,8732,1962,5513,Jaipur_Care_Center,PHC,13,34,187,No,24.27,98.02,Poor,No,73,Medium,No,No,1804,12.0,0.5,0,0,0,0,0.4941,20.965985,86.934902
V01997,Village_5556,Jabalpur,Madhya Pradesh,23.206034209916798,80.26963956711305,21123,10458,10665,1613,3819,Jabalpur_Care_Center,PHC,26,50,34,Yes,46.28,210.74,Average,No,28,High,No,Yes,4550,25.0,1.0,1,0,0,1,0.85,19.331818,80.933262
V01998,Village_8149,Pune,Maharashtra,18.34093519191484,74.5598742707973,18433,9285,9148,1568,3800,Pune_Care_Center,District Hospital,38,38,7,No,19.06,71.33,Average,Yes,100,Low,No,No,2791,25.0,0.2,0,1,0,0,0.3482,18.163931,78.33478
V01999,Village_7118,Gwalior,Madhya Pradesh,26.03659583311034,77.84487080241949,5838,2963,2875,467,1607,Gwalior_Medical_Center,PHC,14,14,223,No,12.58,42.89,Good,No,100,Low,No,No,4634,40.0,0.2,0,0,0,0,0.1338,19.345227,85.347639
V02000,Village_6542,Pune,Maharashtra,18.470502666919298,74.53271012947768,9498,4744,4754,1064,1962,Pune_Medical_Center,PHC,40,30,10,No,13.34,51.66,Average,Yes,100,Low,No,No,3353,25.0,0.2,0,1,0,0,0.1961,19.220844,83.170989
V02001,Village_4083,Nagpur,Maharashtra,21.320914235268045,78.90532067322404,7425,3742,3683,661,1927,Nagpur_Care_Center,CHC,2,13,48,No,15.98,70.78,Average,No,70,Medium,Yes,No,4109,25.0,0.5,0,0,1,0,0.3409,26.80447,76.357354
V02002,Village_8589,Prayagraj,Uttar Pradesh,25.127845771969717,81.79375160108454,2710,1330,1380,247,771,Prayagraj_Medical_Center,CHC,30,70,39,No,36.59,113.2,Average,No,67,Medium,No,No,3253,25.0,0.5,0,0,0,0,0.2696,26.512271,75.72823
V02003,Village_4286,Nashik,Maharashtra,20.416442460547458,73.62919729710923,24017,11769,12248,1777,5162,Nashik_Health_Center,District Hospital,38,14,31,No,31.61,133.95,Average,Yes,74,Medium,No,No,2376,25.0,0.5,0,1,0,0,0.6113,26.697384,77.020342
V02004,Village_8762,Lucknow,Uttar Pradesh,26.608390241642827,81.05876617327367,24877,12848,12029,2645,8274,Lucknow_Medical_Center,District Hospital,33,60,237,No,48.31,194.8,Average,Yes,47,Medium,No,No,1997,25.0,0.5,0,1,0,0,0.7069,20.882472,79.401502
V02005,Village_6049,Indore,Madhya Pradesh,22.881568952192108,75.58071266685279,3798,1841,1957,260,1238,Indore_Health_Center,District Hospital,27,59,61,Yes,56.51,178.3,Average,Yes,28,High,No,Yes,4907,25.0,1.0,1,1,0,1,0.5551,22.979044,74.29713
V02006,Village_9037,Pune,Maharashtra,19.012670617726307,74.02626824600605,19922,10059,9863,2178,5309,Pune_Medical_Center,PHC,17,10,212,No,2.52,9.05,Good,No,100,Low,No,No,1958,40.0,0.2,0,0,0,0,0.3736,25.88101,75.092817
V02007,Village_4514,Nagpur,Maharashtra,20.809456962102328,79.2611112627851,16433,8478,7955,1055,4437,Nagpur_Health_Center,District Hospital,26,65,16,No,30.09,71.31,Poor,No,78,Low,No,No,882,12.0,0.2,0,0,0,0,0.3802,22.926929,86.751456
V02008,Village_1037,Muzaffarpur,Bihar,26.133529671995742,84.99598727420741,1656,798,858,167,308,Muzaffarpur_Health_Center,CHC,27,7,81,No,15.07,69.09,Good,Yes,98,Low,No,No,3741,40.0,0.2,0,1,0,0,0.0687,20.811137,84.408028
V02009,Village_3603,Udaipur,Rajasthan,24.483001726597912,74.03404855724058,20646,10249,10397,2102,4335,Udaipur_Medical_Center,District Hospital,22,41,83,No,27.75,72.66,Average,No,80,Low,No,No,1322,25.0,0.2,0,0,0,0,0.4459,23.181509,83.853624
V02010,Village_8871,Patna,Bihar,25.44666123068992,84.83585453750817,24098,11754,12344,1898,6922,Patna_Health_Center,CHC,29,48,265,No,54.18,183.36,Poor,Yes,42,High,No,No,2742,12.0,1.0,0,1,0,0,0.8587,26.188076,86.564138
V02011,Village_6809,Varanasi,Uttar Pradesh,25.50011389920306,82.78752693862094,22719,11553,11166,1223,5750,Varanasi_Health_Center,CHC,8,43,104,No,43.17,86.6,Poor,Yes,48,Medium,No,No,264,12.0,0.5,0,1,0,0,0.6672,20.605282,75.590387
V02012,Village_3585,Patna,Bihar,25.304720431987217,85.78564373057213,12975,6423,6552,1369,2438,Patna_Care_Center,PHC,7,54,208,Yes,50.96,172.99,Good,No,23,High,No,Yes,3769,40.0,1.0,1,0,0,1,0.7263,21.940367,87.849802
V02013,Village_2680,Udaipur,Rajasthan,24.48160603457093,73.63257335613784,15887,7899,7988,1618,3739,Udaipur_Health_Center,CHC,12,60,85,Yes,34.6,132.26,Good,No,48,Medium,No,No,4090,40.0,0.5,1,0,0,0,0.5509,22.605487,82.065192
V02014,Village_7514,Gwalior,Madhya Pradesh,26.205301466392697,77.81205549266461,5939,3072,2867,366,1961,Gwalior_Care_Center,PHC,23,41,131,No,57.09,182.05,Good,Yes,26,High,No,Yes,2334,40.0,1.0,0,1,0,1,0.5976,22.592476,87.929783
